id_siswa,jenis_kelamin,jam_belajar_per_hari,presentase_kehadiran,nilai_tugas,nilai_UTS,nilai_UAS,nilai_partisipasi,akses_internet,kelas_tambahan,pendidikan_orang_tua,jam_tidur,nilai_keseluruhan,nilai
100000,1,4.54,69.98,36.47,70.7,53.1,17.96,1,0,2,8.09,52.348,0.0
100001,0,5.26,84.8,34.25,27.92,87.17,11.29,0,1,1,4.73,53.9485,0.0
100002,1,8.69,73.76,72.29,70.92,99.61,76.1,0,1,3,8.73,82.03750000000001,2.0
100003,1,4.06,45.0,97.63,31.73,88.85,33.55,0,0,1,8.22,66.411,1.0
100004,1,8.83,51.13,65.19,78.28,54.23,88.99,0,0,1,8.59,65.60050000000001,1.0
100005,0,1.79,53.16,33.61,54.26,79.79,58.23,0,0,1,5.43,59.3525,1.0
100006,1,7.99,55.47,45.49,87.83,67.37,53.07,0,1,0,5.68,65.489,1.0
100007,1,8.63,73.92,47.14,95.69,85.06,79.55,1,0,2,6.35,78.46849999999999,2.0
100008,1,2.64,70.24,53.65,56.28,40.72,76.7,0,0,1,5.12,53.746,0.0
100009,0,4.87,52.19,33.05,59.54,74.67,73.38,1,0,1,6.33,60.1865,1.0
100010,1,2.49,44.05,93.34,69.26,84.16,72.09,1,1,1,4.05,77.053,2.0
100011,1,7.36,50.29,66.09,39.78,83.29,56.39,0,1,2,8.39,62.9825,1.0
100012,1,5.82,99.06,76.97,94.55,97.45,93.38,1,0,3,4.81,92.383,3.0
100013,1,6.72,68.11,34.7,57.47,34.09,90.16,1,0,0,6.5,49.066,0.0
100014,0,2.77,92.04,33.79,37.51,54.2,39.65,0,0,0,8.64,48.2745,0.0
100015,1,2.91,90.93,71.05,82.2,63.36,82.42,1,0,1,8.1,74.27100000000002,2.0
100016,0,1.37,70.69,92.11,41.44,51.68,90.2,0,0,3,7.88,62.959,1.0
100017,0,3.9,82.4,66.99,35.76,51.69,65.64,0,0,3,7.03,55.2335,1.0
100018,0,6.04,51.57,91.45,67.22,42.33,60.0,1,0,3,6.18,61.0675,1.0
100019,1,8.72,81.3,86.77,75.36,86.91,70.47,1,0,3,6.23,81.78949999999999,2.0
100020,0,7.0,56.34,35.31,67.72,93.56,24.68,1,1,1,4.43,64.84,1.0
100021,1,4.92,89.92,44.14,74.24,35.76,17.86,0,0,0,4.32,50.682,0.0
100022,0,9.58,45.02,76.04,33.66,40.84,83.81,1,1,2,8.22,50.8,0.0
100023,0,7.47,86.39,61.05,60.7,45.99,61.6,0,0,1,6.04,58.2805,1.0
100024,0,9.37,46.0,50.35,51.78,65.63,21.03,0,0,2,4.27,52.688500000000005,0.0
100025,0,5.75,92.87,59.3,98.0,85.38,47.47,0,1,0,7.32,80.277,2.0
100026,0,3.33,58.25,61.16,28.72,35.0,36.84,0,0,1,7.42,41.171,0.0
100027,0,1.48,79.26,93.74,47.37,74.58,88.79,1,0,1,5.14,73.4985,2.0
100028,0,7.53,69.25,37.24,95.64,40.45,55.65,1,0,3,6.05,58.0055,1.0
100029,0,2.09,61.98,49.58,98.76,98.0,61.98,0,1,2,6.87,81.30200000000002,2.0
100030,1,3.72,78.73,67.63,86.87,92.91,31.18,0,1,2,6.98,78.753,2.0
100031,1,5.79,96.85,78.88,30.7,96.47,81.92,0,0,2,6.56,75.0925,2.0
100032,0,6.08,42.48,74.14,67.1,37.43,93.71,1,1,3,5.82,58.3225,1.0
100033,0,6.41,95.13,95.91,55.01,64.16,81.32,1,1,3,4.34,73.0355,2.0
100034,0,2.5,76.54,85.69,85.48,41.57,54.36,1,1,3,4.11,66.14750000000001,1.0
100035,1,4.42,88.44,69.0,29.13,72.02,85.16,1,1,3,6.3,63.6495,1.0
100036,0,6.55,63.03,45.03,39.78,46.29,26.92,1,0,1,5.01,44.14750000000001,0.0
100037,1,9.73,68.31,61.56,61.69,83.94,20.21,0,0,0,8.69,65.9655,1.0
100038,1,7.55,92.13,78.54,36.82,75.08,49.44,1,0,0,7.2,65.348,1.0
100039,1,9.3,64.89,88.66,76.95,70.01,26.34,1,0,0,6.93,70.596,2.0
100040,1,7.86,72.08,97.18,86.56,87.77,33.32,1,0,2,6.03,82.3355,2.0
100041,1,6.33,41.21,72.38,77.84,65.02,62.66,1,0,2,5.65,67.08,1.0
100042,0,2.73,49.52,66.88,58.02,48.89,46.35,1,0,0,4.9,54.5795,0.0
100043,0,7.0,78.5,31.24,90.88,73.45,87.93,1,1,1,4.3,71.3185,2.0
100044,0,6.61,83.02,35.05,35.33,96.99,30.31,0,1,3,7.17,61.12199999999999,1.0
100045,0,6.42,74.96,40.93,44.53,72.08,99.71,0,0,0,7.9,62.0135,1.0
100046,0,5.41,48.6,33.83,61.72,74.07,42.35,1,0,2,8.29,57.21549999999999,1.0
100047,1,5.76,66.72,58.06,29.6,95.43,56.39,0,0,2,7.62,64.7235,1.0
100048,0,4.01,61.31,53.58,32.18,66.07,21.91,0,0,3,8.48,50.2075,0.0
100049,0,5.67,69.74,74.61,54.81,99.75,62.14,1,1,2,8.91,76.725,2.0
100050,1,2.78,92.22,67.5,95.79,41.18,96.52,1,0,2,8.81,70.7345,2.0
100051,0,8.25,86.55,71.72,93.13,67.59,77.45,1,1,3,6.96,77.683,2.0
100052,1,2.67,45.04,63.04,59.95,44.9,31.96,0,0,3,5.12,51.01049999999999,0.0
100053,0,1.76,93.42,49.44,35.66,61.73,49.84,1,0,0,4.53,54.7345,0.0
100054,1,4.93,68.31,96.7,38.36,41.94,48.29,0,1,0,8.97,55.269000000000005,1.0
100055,0,6.92,84.63,36.05,53.32,45.58,18.82,1,1,3,5.54,46.838,0.0
100056,0,4.94,48.4,95.72,40.76,44.76,89.73,0,1,1,4.17,58.813,1.0
100057,1,3.49,80.24,51.79,31.22,52.4,44.33,1,1,2,5.96,48.96,0.0
100058,1,6.02,54.18,65.89,75.53,39.42,54.48,0,1,0,7.74,56.7235,1.0
100059,1,4.12,66.3,37.62,68.61,86.65,36.21,1,1,2,8.45,65.25500000000001,1.0
100060,1,9.4,41.01,34.97,46.85,45.45,23.72,1,0,2,6.39,41.087,0.0
100061,1,9.3,49.1,60.07,83.42,59.16,91.19,1,1,2,5.47,67.604,1.0
100062,1,5.52,45.52,81.92,83.2,31.12,13.37,1,1,1,7.89,53.965,0.0
100063,1,3.95,54.38,48.86,61.83,37.34,45.99,1,0,2,6.52,48.33550000000001,0.0
100064,1,7.63,46.0,69.36,32.24,92.74,75.76,1,0,2,4.43,66.567,1.0
100065,0,1.33,81.51,49.51,93.89,88.6,37.8,0,0,0,8.44,76.31549999999999,2.0
100066,0,5.27,41.74,57.2,75.15,88.86,50.14,0,1,2,7.28,70.51650000000001,2.0
